# UN member-state Wikipedia network -- built 2026-09-09
# Directed, unweighted: edge A -> B when A's article wikitext links to B's,
# counting only inline links from the article's OWN prose/infobox -- links
# injected by shared navigation templates (e.g. the UN navbox) are excluded.
# 193 nodes, 2220 directed edges.
# Manual addition (2026-09-21): Kenya -> {Ethiopia, Somalia, South_Sudan,
# Sudan, Tanzania, Uganda}. Kenya's intro sentence names all six as
# neighbors/border context in plain prose ("Kenya is bordered by South
# Sudan to the northwest, Ethiopia to the north, Somalia to the east...")
# without wikilinking any of them -- only "Lake Victoria" is bracketed in
# that sentence -- so the extraction rule correctly found zero out-edges
# for Kenya even though the source article clearly discusses all six.
# Added by hand rather than relaxing the extraction rule, which would
# require guessing at unlinked plain-text mentions article-wide.
#
# Manual addition (2026-09-22): Portugal -> {Brazil, Germany, Spain,
# United_Kingdom} and Luxembourg -> {Afghanistan, Albania, Austria,
# Belgium, Bosnia_and_Herzegovina, France, Germany, Italy, Japan,
# Montenegro, Netherlands, Portugal, Serbia, Spain, Switzerland,
# United_Kingdom, United_States}. Both articles had out-degree 0 for the
# same reason as Kenya: every country they mention -- bordering nations,
# colonial history, wars and treaties, trade partners, immigrant-origin
# countries -- is named in plain prose, never wikilinked. Found by
# scanning both articles' full wikitext (stripping <ref> citations,
# {{cite}}/{{sfnp}} templates, infobox flag-icon statistics tables, and
# image captions first, since a naive plain-text scan is mostly citation
# metadata and bibliography noise at this article length) for country
# names appearing outside [[double brackets]], then manually reviewing
# every hit for genuine substantive content. Included: bordering
# countries, named wars/treaties/historical rule, specific trade or
# demographic percentages, small named rankings (e.g. "second-largest
# investment fund centre, after the United States"). Excluded as
# incidental: open-ended comparison lists ("surpassed by the United
# States, Canada, Australia, ... and other small states like ...", which
# is what silently pulled in Australia/Canada/New_Zealand/Iceland/
# Monaco/San_Marino/Liechtenstein/Brunei on a first, less careful pass)
# and event-location mentions (Luxembourg exhibiting at an Expo "in
# Shanghai, China" is not a Luxembourg-China relationship; a photo
# caption naming "Helsinki, Finland" is not a Portugal-Finland one).
# source	target
Austria	Netherlands
Austria	Philippines
Austria	Romania
Austria	Slovakia
Austria	Slovenia
Austria	Switzerland
Austria	Turkey
Azerbaijan	Armenia
Azerbaijan	Georgia_(country)
Azerbaijan	Iran
Azerbaijan	Turkey
Bahrain	Iraq
Bahrain	Israel
Bahrain	Kuwait
Bahrain	Maldives
Bahrain	Oman
Bahrain	Qatar
Bahrain	Saudi_Arabia
Bahrain	Singapore
Bahrain	United_States
Bangladesh	Bhutan
Bangladesh	China
Bangladesh	India
Bangladesh	Myanmar
Bangladesh	Nepal
Bangladesh	Pakistan
Barbados	Guyana
Barbados	Jamaica
Barbados	Malta
Barbados	Nigeria
Barbados	Saint_Lucia
Barbados	Saint_Vincent_and_the_Grenadines
Barbados	Trinidad_and_Tobago
Barbados	United_Kingdom
Belarus	Afghanistan
Belarus	Canada
Belarus	China
Belarus	Japan
Belarus	Latvia
Belarus	Lithuania
Belarus	Norway
Belarus	Poland
Belarus	Russia
Belarus	Syria
Belarus	Ukraine
Belarus	United_Kingdom
Belgium	Burundi
Belgium	Democratic_Republic_of_the_Congo
Belgium	France
Belgium	Germany
Belgium	Iraq
Belgium	Luxembourg
Belgium	Morocco
Belgium	Netherlands
Belgium	Rwanda
Belgium	Turkey
Belgium	United_States
Belize	Barbados
Belize	Canada
Belize	El_Salvador
Belize	Guatemala
Belize	Honduras
Belize	Israel
Belize	Jamaica
Belize	Lebanon
Belize	Mexico
Belize	Nicaragua
Belize	Saint_Vincent_and_the_Grenadines
Belize	Syria
Belize	United_Kingdom
Benin	Burkina_Faso
Benin	China
Benin	Ghana
Benin	Ivory_Coast
Benin	Liberia
Benin	Libya
Benin	Mali
Benin	Niger
Benin	Nigeria
Benin	North_Korea
Benin	Sierra_Leone
Benin	Togo
Bhutan	China
Bhutan	India
Bhutan	Japan
Bhutan	Maldives
Bhutan	Nepal
Bhutan	Qatar
Bhutan	Singapore
Bhutan	Sri_Lanka
Bolivia	Argentina
Bolivia	Brazil
Bolivia	Chile
Bolivia	Paraguay
Bolivia	Peru
Bolivia	Spain
Bolivia	Venezuela
Bosnia_and_Herzegovina	Afghanistan
Bosnia_and_Herzegovina	Croatia
Bosnia_and_Herzegovina	Democratic_Republic_of_the_Congo
Bosnia_and_Herzegovina	Iraq
Bosnia_and_Herzegovina	Montenegro
Bosnia_and_Herzegovina	Serbia
Bosnia_and_Herzegovina	Slovenia
Bosnia_and_Herzegovina	The_Bahamas
Botswana	Cape_Verde
Botswana	Kenya
Botswana	Mauritius
Botswana	Mozambique
Botswana	Namibia
Botswana	Seychelles
Botswana	South_Africa
Botswana	Tanzania
Botswana	United_Kingdom
Botswana	Zambia
Botswana	Zimbabwe
Brazil	Argentina
Brazil	Bolivia
Brazil	Chile
Brazil	China
Brazil	Colombia
Brazil	Ecuador
Brazil	Guyana
Brazil	Indonesia
Brazil	Paraguay
Brazil	Peru
Brazil	Suriname
Brazil	United_Kingdom
Brazil	United_States
Brazil	Uruguay
Brazil	Venezuela
Brunei	Australia
Brunei	Cambodia
Brunei	Fiji
Brunei	India
Brunei	Indonesia
Brunei	Japan
Brunei	Malaysia
Brunei	Morocco
Brunei	New_Zealand
Brunei	Philippines
Brunei	Singapore
Brunei	South_Korea
Brunei	Thailand
Brunei	United_Kingdom
Brunei	Vietnam
Bulgaria	Albania
Bulgaria	China
Bulgaria	Germany
Bulgaria	Greece
Bulgaria	Hungary
Bulgaria	North_Macedonia
Bulgaria	Poland
Bulgaria	Romania
Bulgaria	Russia
Bulgaria	Serbia
Bulgaria	Switzerland
Bulgaria	Turkey
Bulgaria	Vietnam
Burkina_Faso	Benin
Burkina_Faso	France
Burkina_Faso	Ghana
Burkina_Faso	Ivory_Coast
Burkina_Faso	Mali
Burkina_Faso	Niger
Burkina_Faso	Nigeria
Burkina_Faso	Senegal
Burkina_Faso	Togo
Burundi	Belgium
Burundi	Botswana
Burundi	Democratic_Republic_of_the_Congo
Burundi	Eswatini
Burundi	Lesotho
Burundi	Rwanda
Burundi	South_Africa
Burundi	Tanzania
Cambodia	India
Cambodia	Laos
Cambodia	Sri_Lanka
Cambodia	Thailand
Cambodia	Vietnam
Cameroon	Central_African_Republic
Cameroon	Chad
Cameroon	Equatorial_Guinea
Cameroon	France
Cameroon	Gabon
Cameroon	Nigeria
Cameroon	Republic_of_the_Congo
Cameroon	United_Kingdom
Canada	France
Canada	Mexico
Canada	Somalia
Canada	United_States
Cape_Verde	Argentina
Cape_Verde	Haiti
Cape_Verde	Mauritania
Cape_Verde	Nauru
Cape_Verde	Portugal
Cape_Verde	Senegal
Cape_Verde	Sweden
Cape_Verde	São_Tomé_and_Príncipe
Cape_Verde	The_Gambia
Central_African_Republic	Burundi
Central_African_Republic	Cameroon
Central_African_Republic	Chad
Central_African_Republic	Democratic_Republic_of_the_Congo
Central_African_Republic	France
Central_African_Republic	Nigeria
Central_African_Republic	Republic_of_the_Congo
Central_African_Republic	South_Sudan
Central_African_Republic	Sudan
Chad	Cameroon
Chad	Central_African_Republic
Chad	France
Chad	Libya
Chad	Mali
Chad	Mauritania
Chad	Niger
Chad	Nigeria
Chad	Pakistan
Chad	Saudi_Arabia
Chad	Senegal
Chad	Sudan
Chile	Argentina
Chile	Bolivia
Chile	Colombia
Chile	Croatia
Chile	Cuba
Chile	Haiti
Chile	Nicaragua
Chile	Peru
Chile	Philippines
Chile	South_Korea
Chile	Spain
Chile	United_States
Chile	Venezuela
China	India
China	Italy
China	Nepal
China	North_Korea
China	Pakistan
China	Philippines
China	Russia
China	United_States
Colombia	Brazil
Colombia	Costa_Rica
Colombia	Cuba
Colombia	Dominican_Republic
Colombia	Ecuador
Colombia	Guatemala
Colombia	Haiti
Colombia	Honduras
Colombia	Jamaica
Colombia	Nicaragua
Colombia	Panama
Colombia	Peru
Colombia	Philippines
Colombia	United_States
Colombia	Venezuela
Comoros	France
Comoros	Italy
Comoros	Kenya
Comoros	Madagascar
Comoros	Mozambique
Comoros	Oman
Comoros	Seychelles
Comoros	Spain
Comoros	São_Tomé_and_Príncipe
Comoros	Tanzania
Comoros	United_Kingdom
Comoros	Zimbabwe
Costa_Rica	Argentina
Costa_Rica	Chile
Costa_Rica	Colombia
Costa_Rica	Cuba
Costa_Rica	Denmark
Costa_Rica	Dominican_Republic
Costa_Rica	Ecuador
Costa_Rica	El_Salvador
Costa_Rica	Greece
Costa_Rica	Guatemala
Costa_Rica	Iceland
Costa_Rica	Jamaica
Costa_Rica	Liechtenstein
Costa_Rica	Malta
Costa_Rica	Monaco
Costa_Rica	Nicaragua
Costa_Rica	Panama
Costa_Rica	Spain
Costa_Rica	United_Kingdom
Croatia	Austria
Croatia	Bosnia_and_Herzegovina
Croatia	Hungary
Croatia	Italy
Croatia	Montenegro
Croatia	Serbia
Croatia	Slovenia
Cuba	Algeria
Cuba	Dominican_Republic
Cuba	Ethiopia
Cuba	Guinea
Cuba	Guinea-Bissau
Cuba	Haiti
Cuba	Jamaica
Cuba	Mozambique
Cuba	Nicaragua
Cuba	Philippines
Cuba	The_Bahamas
Cuba	Yemen
Cyprus	Australia
Cyprus	Canada
Cyprus	Egypt
Cyprus	Greece
Cyprus	Israel
Cyprus	Lebanon
Cyprus	Syria
Cyprus	Turkey
Cyprus	United_Kingdom
Cyprus	United_States
Czech_Republic	Austria
Czech_Republic	Germany
Czech_Republic	Iceland
Czech_Republic	Poland
Czech_Republic	Slovakia
Democratic_Republic_of_the_Congo	Algeria
Democratic_Republic_of_the_Congo	Angola
Democratic_Republic_of_the_Congo	Belgium
Democratic_Republic_of_the_Congo	Burundi
Democratic_Republic_of_the_Congo	Central_African_Republic
Democratic_Republic_of_the_Congo	Chad
Democratic_Republic_of_the_Congo	China
Democratic_Republic_of_the_Congo	Liberia
Democratic_Republic_of_the_Congo	Morocco
Democratic_Republic_of_the_Congo	Mozambique
Democratic_Republic_of_the_Congo	Republic_of_the_Congo
Democratic_Republic_of_the_Congo	Rwanda
Democratic_Republic_of_the_Congo	Sierra_Leone
Democratic_Republic_of_the_Congo	Singapore
Democratic_Republic_of_the_Congo	South_Africa
Democratic_Republic_of_the_Congo	South_Sudan
Democratic_Republic_of_the_Congo	Tanzania
Democratic_Republic_of_the_Congo	Togo
Democratic_Republic_of_the_Congo	Uganda
Democratic_Republic_of_the_Congo	United_Arab_Emirates
Democratic_Republic_of_the_Congo	Zambia
Denmark	Afghanistan
Denmark	Bosnia_and_Herzegovina
Denmark	France
Denmark	Germany
Denmark	Ghana
Denmark	Iceland
Denmark	India
Denmark	Iraq
Denmark	Lebanon
Denmark	Norway
Denmark	San_Marino
Denmark	Sri_Lanka
Denmark	Sweden
Denmark	Syria
Djibouti	Egypt
Djibouti	Eritrea
Djibouti	Ethiopia
Djibouti	France
Djibouti	India
Djibouti	Somalia
Djibouti	Sudan
Djibouti	Turkey
Djibouti	Uganda
Djibouti	United_Arab_Emirates
Djibouti	United_States
Djibouti	Yemen
Dominica	Barbados
Dominica	Belize
